타임스탬프,사용자ID,화면,이벤트,대상,값,행동,브라우저,디바이스
2026. 2. 6 오전 1:38:14,session_1770302915208_te36vyjba,기획1-1A_화면,미션 시작,기획1-1_A미션시작,,기획1-1_A미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:16,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,cut_select,"{""cutId"":1,""cutTitle"":""디테일 포인트"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:16,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,메모입력완료,"{""cutId"":2,""cutTitle"":""사용 장면 컷"",""memoLength"":2,""memoText"":""Tt""}",메모입력완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:16,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,cut_select,"{""cutId"":1,""cutTitle"":""디테일 포인트"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:16,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,cut_select,"{""cutId"":1,""cutTitle"":""디테일 포인트"",""prevCutId"":2,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:21,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,메모입력완료,"{""cutId"":1,""cutTitle"":""디테일 포인트"",""memoLength"":5,""memoText"":""Hello""}",메모입력완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:23,session_1770302915208_te36vyjba,기획1-1A_화면,미션 완료,기획1-1_A미션완료,"완료시간:12.7초,메모수:2,총길이:7",기획1-1_A미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:23,session_1770302915208_te36vyjba,기획1-1A_화면,버튼 클릭,저장하기,"{""memoCount"":2,""totalCuts"":6,""totalMemoLength"":7,""avgMemoLength"":""3.5"",""memoDetails"":[{""cutId"":1,""hasMemo"":true,""memoLength"":5},{""cutId"":2,""hasMemo"":true,""memoLength"":2},{""cutId"":3,""hasMemo"":false,""memoLength"":0},{""cutId"":4,""hasMemo"":false,""memoLength"":0},{""cutId"":5,""hasMemo"":false,""memoLength"":0},{""cutId"":6,""hasMemo"":false,""memoLength"":0}]}",저장하기 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:26,session_1770302915208_te36vyjba,기획1-1B_화면,화면 진입,,,기획1-1B_화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:26,session_1770302915208_te36vyjba,기획1-1B_화면,미션 시작,기획1-1_B미션시작,,기획1-1_B미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
